Precio,Kilometraje,Año,Marca
27483.570765056164,176700.88366631154,2021,Chevrolet
24308.67849414408,150746.03737329884,2005,Ford
28238.442690503463,142432.9907891009,2010,Honda
32615.149282040125,143471.97595755075,2010,Mercedes
23829.23312638332,78303.31873175348,2016,Ford
23829.315215254097,65782.45041025375,2017,Toyota
32896.064077536954,163778.6195409176,2017,Honda
28837.173645764546,163921.54498904434,2019,BMW
22652.62807032524,174743.74053021971,2020,Ford
27712.800217929824,183515.70498572954,2015,Toyota
22682.91153593769,107155.05578357818,2009,Chevrolet
22671.351232148714,105288.09599056792,2008,Mercedes
26209.81135783017,161676.08400368728,2007,Honda
15433.598776711011,133493.14684777538,2022,Ford
16375.410837434836,143373.70667896364,2019,Ford
22188.562353795136,161200.6071928592,2013,BMW
19935.84439832788,179101.0149453376,2021,BMW
26571.23666297637,74219.07980179181,2018,Chevrolet
20459.879622393946,81360.76100158936,2019,Mercedes
17938.481493323543,27856.56856976511,2005,Chevrolet
32328.243844607772,119873.22678927306,2007,Toyota
23871.11849756732,16829.032021380997,2020,Toyota
25337.64102343962,98463.62344516742,2015,Chevrolet
17876.259068932715,113102.48059443956,2016,Mercedes
22278.086377374086,64442.837904374035,2014,Chevrolet
25554.61294854933,122258.31950811205,2020,Mercedes
19245.032112888486,15795.047488419392,2012,Mercedes
26878.49009172836,17096.155862350737,2010,Honda
21996.806550405974,166294.10652533508,2016,Mercedes
23541.531251033615,78436.22186813995,2012,BMW
21991.466938853016,34141.49740385811,2008,Mercedes
34261.39092254469,109226.21941041283,2012,Mercedes
24932.51387631033,156298.77508873606,2022,Mercedes
19711.445355220498,51005.995224400205,2009,Toyota
29112.724560515944,128349.19040561005,2013,BMW
18895.781750144888,26216.01834881592,2008,BMW
26044.317975023776,19819.527022035465,2021,Chevrolet
15201.649380601122,110957.37999794811,2013,Honda
18359.069755507848,112720.67310592024,2005,Mercedes
25984.306179345618,131111.68128465925,2017,Ford
28692.332899977053,147957.3534073057,2020,Honda
25856.841405949854,195411.89509788158,2017,Honda
24421.758588058798,108097.06617722711,2018,BMW
23494.481522053557,71361.72985883674,2007,Honda
17607.390048162863,161085.3770060537,2010,Mercedes
21400.778958026458,61458.1277397941,2022,Mercedes
22696.806145201062,93404.56993407087,2009,Toyota
30285.611131094578,24906.71245503053,2019,Mercedes
26718.091447842307,14816.641248936927,2006,Mercedes
16184.79922318633,192903.19878880575,2014,BMW
26620.419846973975,168836.2228973191,2022,Mercedes
23074.588597918417,142235.09915780262,2017,Toyota
21615.389998470208,87701.05943871128,2009,Ford
28058.38144420434,42925.920813460696,2005,BMW
30154.997612479754,39723.03810750635,2005,Ford
29656.40059558099,57546.150651273114,2022,BMW
20803.912383886807,114353.06629416288,2019,Chevrolet
23453.938120743926,145773.22531301185,2021,Honda
26656.31715701782,135437.50157636893,2015,Chevrolet
29877.725635611794,63187.44041972914,2021,Mercedes
22604.12881077355,191424.40332600687,2017,Ford
24071.705116680914,150200.414172196,2005,Mercedes
19468.32512996986,115327.26997716613,2006,Honda
19018.966879596646,126226.94178452692,2013,BMW
29062.62911197099,89724.01186128009,2007,Honda
31781.200142854115,57068.88800521992,2005,Toyota
24639.94939209833,77634.8089437397,2020,Honda
30017.66448946012,153990.76098823012,2010,Toyota
26808.18012523817,12734.762839653615,2021,Honda
21774.40122697438,32053.801696314084,2009,Toyota
26806.97802754207,18740.50198413302,2009,Ford
32690.182832329847,17738.472440604324,2010,Mercedes
24820.86980445024,172537.51096209136,2007,Mercedes
32823.21827907003,143694.9932822045,2009,Chevrolet
11901.274479551279,100093.02752659179,2009,Mercedes
29109.51252187612,28588.49052369028,2014,BMW
25435.235341190855,103407.01627219815,2014,Honda
23504.96324767066,99959.63644830749,2021,Chevrolet
25458.803882677512,42908.355282902885,2018,BMW
15062.155426995536,92431.81335521488,2013,BMW
23901.64056081244,85715.89953550095,2018,Toyota
26785.562857558733,127011.51862992113,2005,Mercedes
32389.47022370758,130667.79366485232,2017,Ford
22408.648908631763,18607.761856688456,2017,Ford
20957.53198553406,81176.39677902953,2008,Chevrolet
22491.214782077317,128913.38398570492,2005,Ford
29577.01058851037,105595.88913021666,2021,Honda
26643.75554829842,172733.06982578122,2012,Ford
22351.198981164805,135151.79000759957,2006,Chevrolet
27566.33716556678,40957.54114547164,2012,Ford
25485.3877467402,23408.062006081673,2011,Honda
29843.224952664445,132059.66285919998,2006,Toyota
21489.734530613237,15037.149002908143,2007,Chevrolet
23361.68926701116,121297.36044195802,2022,Toyota
23039.45923433921,188643.74587074193,2016,Toyota
17682.425259339405,119340.093796417,2005,Toyota
26480.60138532288,83752.28597923917,2016,BMW
26305.276360899446,132224.76150404708,2009,Mercedes
25025.567283212305,97068.04919338816,2021,BMW
23827.064333124265,113667.18997002764,2020,Mercedes
17923.14628974793,188878.31366753977,2019,Toyota
22896.773386173205,83359.50118214711,2019,Chevrolet
23286.427417366154,192626.2071265437,2009,Mercedes
20988.613653891905,182016.62197165212,2018,Honda
24193.571441669956,47200.315609966325,2006,Honda
27020.254284072693,23178.647166281437,2015,Ford
34430.92950605265,29147.820261711066,2011,Mercedes
25872.889064159193,13462.146873794449,2010,Chevrolet
26287.75195361382,27944.162543626397,2006,BMW
24627.770421169163,139771.2869491078,2010,Toyota
15406.143923504793,23525.843207443508,2022,Ford
24867.430622753916,70605.36975581464,2006,Honda
25301.15104970513,170526.30908419637,2022,BMW
37316.21056242643,14421.667789806914,2019,BMW
24038.19517609439,164749.0116918978,2006,Toyota
26507.73671166806,63552.40720694599,2010,Mercedes
24826.441151473784,32451.317248114687,2005,Honda
19156.60981190234,142380.06141918863,2019,Chevrolet
30714.114072575103,129499.14088817796,2014,BMW
28759.66516343387,176719.68257014005,2021,Toyota
28955.159735215235,149663.4983227383,2009,Chevrolet
20453.062726026306,162661.37677312124,2008,Mercedes
32013.971554680495,63586.56878854823,2014,Honda
17990.744686038597,43713.513318147336,2021,Mercedes
27934.285469001352,152616.80281176307,2014,BMW
35952.2781290499,163298.60046078017,2021,Chevrolet
20047.318374346556,198195.97698012792,2009,Chevrolet
22168.51135198614,88397.35861317103,2006,Chevrolet
25498.256825438206,80683.4363006288,2010,BMW
22482.621729419003,157518.4625409794,2006,BMW
17246.682844669336,74752.67264807339,2017,Mercedes
25342.814874030137,186843.8918646773,2015,Ford
19688.481431369477,173098.42285017224,2015,Mercedes
27367.962153175908,91508.86520125349,2020,Honda
20402.878828830984,152665.5028803845,2015,Toyota
32749.672025087697,153363.14607608964,2019,Chevrolet
21083.733538318815,29593.535078827197,2020,Ford
23389.692418971623,181485.05226911767,2015,Toyota
29067.58608684835,105997.95076509286,2020,Ford
18845.678417830226,167026.91856047092,2012,Mercedes
26137.299673020647,70809.42419581623,2008,BMW
31535.71377141214,180149.4134142781,2012,Chevrolet
16962.583827193863,83948.31895949099,2008,Mercedes
25923.16929266152,12059.15378125669,2007,Toyota
26299.413971242117,182022.57551966008,2007,Toyota
28909.114358886553,27344.468589365377,2022,Toyota
18815.24644560959,70669.59114217883,2009,Toyota
18397.716934578617,190511.77373965294,2022,Toyota
27609.707828084487,190615.35791813565,2014,Ford
26484.92336616593,118953.19874342436,2010,Mercedes
26252.464251729383,130049.07031226186,2005,Chevrolet
26732.24104748488,95204.64917588075,2009,BMW
21599.876392107544,65710.04662263226,2013,BMW
26161.268485805016,72446.26362028404,2016,Mercedes
26465.362366493406,137778.50665463728,2018,Mercedes
21428.24290986816,152951.1605931592,2006,BMW
34328.872555723785,160400.01830791123,2021,BMW
27369.164604558937,160027.44713096524,2018,Ford
19043.482513986757,27329.15957925117,2017,Honda
28282.768043169148,103939.85789349048,2013,Chevrolet
20126.591648863392,20936.164403162416,2019,Toyota
28935.42301871226,114410.48764150975,2019,Honda
30792.97789503702,93890.79526094164,2015,Mercedes
20896.58840824145,178663.79472407696,2020,BMW
29816.88064622161,76673.85238489496,2021,Honda
27063.90463468249,32242.733121245114,2008,Chevrolet
29110.30079997245,37168.419590038815,2005,Mercedes
34483.96491326974,154687.02002631972,2012,Toyota
23773.059419985646,127461.4320300896,2021,Toyota
21231.31917821255,29213.308463330148,2007,Chevrolet
20552.427851872384,25980.293161849513,2019,Chevrolet
20920.94857517281,143184.1349772328,2019,BMW
24614.49145292948,23824.97120919677,2018,Toyota
26705.759874083218,166153.41126516767,2018,Mercedes
26383.453996650096,144186.02315973426,2006,Honda
29135.91624518012,25456.268321960953,2017,Mercedes
25065.009459389534,26119.165676186465,2018,Ford
32267.670385786583,197461.51991522333,2011,Ford
23676.71583381022,81111.45119366286,2007,Chevrolet
38600.84583294809,80422.00794270927,2019,BMW
28128.33673882503,164431.91777892548,2018,Ford
20714.212217918586,189977.22970293317,2015,Toyota
19645.537509694437,197340.20212634548,2019,Mercedes
27412.362076215926,153141.8551991989,2017,Mercedes
23882.686073370747,81489.321250874,2022,Chevrolet
28570.00247046046,25865.136172747065,2010,Honda
27366.188122867723,157657.914026213,2007,Chevrolet
24635.855436715636,116096.80744980296,2019,Honda
20766.031409657975,90602.18175692549,2009,Chevrolet
17425.763876570676,182207.33316799984,2014,Chevrolet
22767.425239664895,31127.521638168753,2011,Chevrolet
29281.99397161736,103598.76981526324,2021,Honda
26070.46872065102,12157.192505809624,2011,Honda
18771.30610644006,99045.52197888399,2016,Chevrolet
25865.90462925591,20697.622379549095,2021,Ford
26926.586898644186,32575.404090933665,2017,BMW
20580.712818994336,32329.986887649928,2008,BMW
25768.62552972764,133349.95740205207,2014,BMW
25291.04359223,151748.52706043044,2007,Honda
19285.148510846884,120840.06536846033,2013,Honda
